"date","time","recession","recession_pred_c","recession_pred_3","recession_pred_6","recession_pred_12","recession_pred_18"
1976-06-01,78,0,0.005,0,0.009,0.012,0.015
1976-07-01,79,0,0.011,0.003,0.009,0.007,0.015
1976-08-01,80,0,0.009,0.007,0.007,0.009,0.012
1976-09-01,81,0,0,0,0.007,0.013,0.012
1976-10-01,82,0,0,0,0,0.011,0.012
1976-11-01,83,0,0.003,0.004,0.009,0.011,0.015
1976-12-01,84,0,0.01,0,0.009,0.024,0.015
1977-01-01,85,0,0.011,0,0.009,0.022,0.015
1977-02-01,86,0,0.056,0.038,0,0.069,0.012
1977-03-01,87,0,0.011,0.002,0.009,0.019,0.015
1977-04-01,88,0,0.011,0.006,0.009,0.02,0.015
1977-05-01,89,0,0.013,0.011,0.009,0.02,0.015
1977-06-01,90,0,0.015,0,0.009,0.017,0.015
1977-07-01,91,0,0.015,0,0.009,0.02,0.015
1977-08-01,92,0,0.004,0,0.009,0.02,0.015
1977-09-01,93,0,0.007,0,0.009,0.02,0.015
1977-10-01,94,0,0.002,0,0.009,0.02,0.015
1977-11-01,95,0,0.005,0,0.009,0.02,0.015
1977-12-01,96,0,0.005,0.001,0.009,0.015,0.015
1978-01-01,97,0,0.013,0,0.009,0.02,0.015
1978-02-01,98,0,0.015,0,0.009,0.019,0.015
1978-03-01,99,0,0.018,0,0.009,0.018,0.015
1978-04-01,100,0,0.017,0.003,0.009,0,0.118
1978-05-01,101,0,0.016,0.003,0.004,0.017,0.108
1978-06-01,102,0,0.008,0.002,0.004,0.03,0.131
1978-07-01,103,0,0.008,0,0.004,0.025,0.143
1978-08-01,104,0,0.007,0.003,0.004,0.031,0.808
1978-09-01,105,0,0.009,0.004,0.004,0.028,0.931
1978-10-01,106,0,0.016,0.002,0,0.056,0.92
1978-11-01,107,0,0.034,0,0.013,0,0.931
1978-12-01,108,0,0.026,0.013,0.051,0.253,0.947
1979-01-01,109,0,0.019,0.065,0.189,0.397,0.966
1979-02-01,110,0,0.001,0.019,0.122,0.656,0.966
1979-03-01,111,0,0,0,0.088,0.888,0.966
1979-04-01,112,0,0.034,0.023,0.097,0.883,0.95
1979-05-01,113,0,0.011,0,0.116,0.927,0.947
1979-06-01,114,0,0.031,0.02,0.177,0.956,0.947
1979-07-01,115,0,0.044,0.002,0.028,0.957,0.966
1979-08-01,116,0,0.123,0.074,0.768,0.933,0.966
1979-09-01,117,0,0.038,0.052,0.877,0.969,0.966
1979-10-01,118,0,0.042,0.139,0.734,0.945,0.966
1979-11-01,119,0,0.011,0.884,0.914,0.931,0.966
1979-12-01,120,0,0.072,0.948,0.914,0.931,0.966
1980-01-01,121,0,0.243,0.919,0.936,0.933,0.966
1980-02-01,122,1,0.457,0.879,0.899,0.954,0.966
1980-03-01,123,1,0.551,0.969,0.914,0.934,0.966
1980-04-01,124,1,0.882,1,0.914,0.941,0.966
1980-05-01,125,1,0.882,0.965,0.898,0.924,0.951
1980-06-01,126,1,0.907,0.886,0.909,0.882,0.951
1980-07-01,127,1,0.863,0.142,0.596,0.771,0.932
1980-08-01,128,0,0.328,0.047,0.031,0.882,0.91
1980-09-01,129,0,0.247,0.076,0.031,0.896,0.891
1980-10-01,130,0,0.012,0,0,0.945,0.891
1980-11-01,131,0,0.018,0.027,0.092,0.836,0.895
1980-12-01,132,0,0.031,0.024,0.124,0.938,0.894
1981-01-01,133,0,0.027,0.005,0.323,0.901,0.894
1981-02-01,134,0,0.084,0.025,0.809,0.938,0.948
1981-03-01,135,0,0.117,0.088,0.84,0.891,0.966
1981-04-01,136,0,0.117,0.111,0.924,0.925,0.949
1981-05-01,137,0,0.116,0.716,0.851,0.918,0.949
1981-06-01,138,0,0.111,0.787,0.9,0.984,0.952
1981-07-01,139,0,0.134,1,0.9,0.984,0.97
1981-08-01,140,1,0.406,1,0.9,0.971,0.952
1981-09-01,141,1,0.531,1,0.939,0.927,0.949
1981-10-01,142,1,1,1,0.939,0.926,0.949
1981-11-01,143,1,0.988,1,0.937,0.899,0.945
1981-12-01,144,1,0.974,1,0.946,0.89,0.928
1982-01-01,145,1,0.964,0.989,0.936,0.895,0.925
1982-02-01,146,1,0.913,0.972,0.938,0.936,0.954
1982-03-01,147,1,0.905,1,0.959,0.893,0.967
1982-04-01,148,1,0.98,0.983,0.954,0.926,0.902
1982-05-01,149,1,0.94,0.99,0.932,0.886,0.957
1982-06-01,150,1,0.995,0.998,0.931,0.936,0.957
1982-07-01,151,1,0.921,0.951,0.953,0.827,0.904
1982-08-01,152,1,0.762,1,0.947,0.891,0.924
1982-09-01,153,1,0.907,0.978,0.871,0.896,0.943
1982-10-01,154,1,0.91,0.94,0.828,0.863,0.832
1982-11-01,155,1,0.69,0,0.066,0.277,0.176
1982-12-01,156,0,0.292,0,0.043,0.313,0.176
1983-01-01,157,0,0.031,0,0,0.338,0.184
1983-02-01,158,0,0.038,0,0.013,0.386,0.24
1983-03-01,159,0,0,0.015,0.049,0.118,0.114
1983-04-01,160,0,0.04,0,0.186,0.161,0.126
1983-05-01,161,0,0,0,0,0.158,0.03
1983-06-01,162,0,0,0,0,0.138,0.106
1983-07-01,163,0,0,0.002,0.01,0.017,0.015
1983-08-01,164,0,0,0,0.005,0,0.015
1983-09-01,165,0,0.013,0,0.005,0,0.015
1983-10-01,166,0,0.012,0,0.005,0.012,0.015
1983-11-01,167,0,0.017,0.012,0.005,0.026,0.015
1983-12-01,168,0,0.012,0.004,0.005,0.027,0.015
1984-01-01,169,0,0.015,0.003,0.005,0.016,0.015
1984-02-01,170,0,0.003,0,0.01,0.017,0.015
1984-03-01,171,0,0.003,0.008,0.01,0.003,0.015
1984-04-01,172,0,0.014,0.011,0.01,0.009,0.015
1984-05-01,173,0,0.016,0.001,0.029,0.024,0.015
1984-06-01,174,0,0.025,0.004,0.029,0.015,0.025
1984-07-01,175,0,0.022,0,0.023,0.028,0.045
1984-08-01,176,0,0.029,0.001,0,0.055,0.033
1984-09-01,177,0,0.024,0,0,0.043,0.03
1984-10-01,178,0,0.054,0,0,0.029,0.024
1984-11-01,179,0,0.048,0.018,0,0.023,0.261
1984-12-01,180,0,0.023,0.014,0,0.037,0.261
1985-01-01,181,0,0.013,0.02,0.01,0,0.003
1985-02-01,182,0,0,0,0.01,0.027,0.147
1985-03-01,183,0,0.002,0.009,0.01,0.019,0.198
1985-04-01,184,0,0.001,0.002,0.01,0.012,0.015
1985-05-01,185,0,0,0,0.01,0.042,0.015
1985-06-01,186,0,0.036,0.007,0.01,0.035,0.015
1985-07-01,187,0,0.002,0,0.01,0.027,0.015
1985-08-01,188,0,0,0,0.009,0.044,0.015
1985-09-01,189,0,0.012,0,0.07,0.048,0.012
1985-10-01,190,0,0.008,0,0.01,0.032,0.015
1985-11-01,191,0,0.007,0,0.01,0.046,0.015
1985-12-01,192,0,0.007,0.002,0.01,0.012,0.015
1986-01-01,193,0,0.007,0,0.01,0.014,0.015
1986-02-01,194,0,0.003,0.003,0.01,0.011,0.058
1986-03-01,195,0,0.006,0,0.01,0,0.046
1986-04-01,196,0,0.039,0,0.01,0.02,0.003
1986-05-01,197,0,0,0.017,0.01,0.01,0.023
1986-06-01,198,0,0.009,0.014,0.009,0.009,0.036
1986-07-01,199,0,0,0,0.009,0.013,0.003
1986-08-01,200,0,0,0,0,0.016,0.013
1986-09-01,201,0,0.036,0.021,0.004,0.03,0.007
1986-10-01,202,0,0,0,0.009,0.026,0.006
1986-11-01,203,0,0.009,0,0.009,0.012,0.006
1986-12-01,204,0,0.011,0,0.009,0,0.006
1987-01-01,205,0,0.006,0.001,0.009,0.011,0.006
1987-02-01,206,0,0.008,0.002,0.009,0.017,0.015
1987-03-01,207,0,0,0,0.009,0.009,0.015
1987-04-01,208,0,0.007,0.001,0.009,0.008,0.015
1987-05-01,209,0,0.018,0,0.009,0.058,0.068
1987-06-01,210,0,0.017,0,0.009,0.008,0.025
1987-07-01,211,0,0.008,0.004,0.009,0.04,0.025
1987-08-01,212,0,0.006,0,0.009,0.006,0.015
1987-09-01,213,0,0.02,0,0.009,0.016,0.025
1987-10-01,214,0,0.019,0,0.01,0.016,0.025
1987-11-01,215,0,0.01,0.005,0.01,0.022,0.029
1987-12-01,216,0,0.013,0.011,0.01,0.014,0.029
1988-01-01,217,0,0.006,0,0.01,0.005,0.029
1988-02-01,218,0,0,0,0.009,0.011,0.015
1988-03-01,219,0,0,0,0.009,0.008,0.015
1988-04-01,220,0,0.003,0,0.009,0.016,0.028
1988-05-01,221,0,0,0.003,0.009,0.016,0.015
1988-06-01,222,0,0.008,0.001,0.009,0.012,0.015
1988-07-01,223,0,0.007,0.002,0.009,0.015,0.028
1988-08-01,224,0,0.004,0.002,0.009,0.023,0.028
1988-09-01,225,0,0.006,0.002,0.009,0.016,0.028
1988-10-01,226,0,0.009,0.002,0.009,0.015,0.015
1988-11-01,227,0,0.008,0,0.009,0.011,0.07
1988-12-01,228,0,0.007,0.001,0.009,0.017,0.089
1989-01-01,229,0,0.008,0,0.009,0.018,0.11
1989-02-01,230,0,0.008,0,0.009,0.012,0.698
1989-03-01,231,0,0.003,0,0.003,0.022,0.982
1989-04-01,232,0,0.006,0,0.002,0.057,0.941
1989-05-01,233,0,0.007,0,0,0.067,0.935
1989-06-01,234,0,0,0.027,0,0.222,0.956
1989-07-01,235,0,0.022,0.002,0,0.308,0.931
1989-08-01,236,0,0,0,0,0.764,0.931
1989-09-01,237,0,0.001,0,0.002,0.785,0.951
